keV,mu,Coh,Incoh,PE
5,0.051396750000000005,NA,NA,NA
6,0.0369149692952693,NA,NA,NA
7,0.025537043500359076,NA,NA,NA
8,0.01689351515781419,NA,NA,NA
9,0.010614926810179543,NA,NA,NA
10,0.0063318210000000005,NA,NA,NA
11,0.003674740269820464,NA,NA,NA
12,0.0022742271621858114,NA,NA,NA
13,0.001760824219640927,NA,NA,NA
14,0.0017650739847306952,NA,NA,NA
15,0.0019175190000000006,NA,NA,NA
16,0.001920070009448843,NA,NA,NA
17,0.0017601105628976858,NA,NA,NA
18,0.0014963924116221069,NA,NA,NA
19,0.001187667306897685,NA,NA,NA
20,0.0008926870000000004,NA,NA,NA
21,0.0006589767361125098,NA,NA,NA
22,0.0004891557360501871,NA,NA,NA
23,0.0003746167145358852,NA,NA,NA
24,0.0003067523862924573,NA,NA,NA
25,0.00027695546604275593,NA,NA,NA
26,0.0002766186685096342,NA,NA,NA
27,0.0002971347084159449,NA,NA,NA
28,0.0003298963004845407,NA,NA,NA
29,0.00036629615943827487,NA,NA,NA
30,0.00039772699999999995,NA,NA,NA
31,0.0004173209892594847,NA,NA,NA
32,0.00042516810377415975,NA,NA,NA
33,0.00042309777246837203,NA,NA,NA
34,0.0004129394242664676,NA,NA,NA
35,0.0003965224880927931,NA,NA,NA
36,0.0003756763928716954,NA,NA,NA
37,0.0003522305675275207,NA,NA,NA
38,0.0003280144409846154,NA,NA,NA
39,0.0003048574421673264,NA,NA,NA
40,0.0002845890000000001,NA,NA,NA
41,0.00026863954184955203,NA,NA,NA
42,0.0002568434888531741,NA,NA,NA
43,0.0002486362605906274,NA,NA,NA
44,0.00024345327664167298,NA,NA,NA
45,0.00024072995658607174,NA,NA,NA
46,0.00023990172000358485,NA,NA,NA
47,0.0002404039864739732,NA,NA,NA
48,0.00024167217557699778,NA,NA,NA
49,0.00024314170689241968,NA,NA,NA
50,0.00024424799999999997,NA,NA,NA
51,0.00024454007234230767,NA,NA,NA
52,0.00024402133281314407,NA,NA,NA
53,0.00024280878816911877,NA,NA,NA
54,0.0002410194451668409,NA,NA,NA
55,0.00023877031056292002,NA,NA,NA
56,0.00023617839111396562,NA,NA,NA
57,0.000233360693576587,NA,NA,NA
58,0.00023043422470739357,NA,NA,NA
59,0.00022751599126299475,NA,NA,NA
60,0.000224723,NA,NA,NA
61,0.000222150907495267,NA,NA,NA
62,0.00021980996960664677,NA,NA,NA
63,0.00021768909201223864,NA,NA,NA
64,0.00021577718039014193,NA,NA,NA
65,0.00021406314041845598,NA,NA,NA
66,0.0002125358777752801,NA,NA,NA
67,0.00021118429813871362,NA,NA,NA
68,0.00020999730718685588,NA,NA,NA
69,0.0002089638105978062,NA,NA,NA
70,0.00020807271404966394,NA,NA,NA
71,0.00020731292322052842,NA,NA,NA
72,0.0002066733437884989,NA,NA,NA
73,0.0002061428814316748,NA,NA,NA
74,0.00020571044182815537,NA,NA,NA
75,0.00020536493065603998,NA,NA,NA
76,0.00020509525359342797,NA,NA,NA
77,0.0002048903163184186,NA,NA,NA
78,0.0002047390245091113,NA,NA,NA
79,0.00020463028384360533,NA,NA,NA
80,0.000204553,NA,NA,NA
81,0.00020449607865639474,NA,NA,NA
82,0.00020444842549088876,NA,NA,NA
83,0.00020439894618158147,NA,NA,NA
84,0.00020433654640657212,NA,NA,NA
85,0.00020425013184396007,NA,NA,NA
86,0.00020412860817184468,NA,NA,NA
87,0.00020396088106832528,NA,NA,NA
88,0.0002037358562115011,NA,NA,NA
89,0.0002034424392794716,NA,NA,NA
90,0.00020306953595033606,NA,NA,NA
91,0.00020260605190219378,NA,NA,NA
92,0.00020204089281314412,NA,NA,NA
93,0.00020136296436128637,NA,NA,NA
94,0.00020056117222471995,NA,NA,NA
95,0.00019962442208154406,NA,NA,NA
96,0.00019854161960985805,NA,NA,NA
97,0.00019730167048776138,NA,NA,NA
98,0.00019589348039335323,NA,NA,NA
99,0.000194305955004733,NA,NA,NA
100,0.000192528,NA,NA,NA
101,0.00019054852105725357,NA,NA,NA
102,0.00018835642385459295,NA,NA,NA
103,0.00018594061407011762,NA,NA,NA
104,0.00018328999738192689,NA,NA,NA
105,0.00018039347946811988,NA,NA,NA
106,0.00017723996600679624,NA,NA,NA
107,0.00017381836267605497,NA,NA,NA
108,0.00017011757515399568,NA,NA,NA
109,0.00016612650911871743,NA,NA,NA
110,0.00016183407024831974,NA,NA,NA
111,0.00015722916422090185,NA,NA,NA
112,0.00015230069671456312,NA,NA,NA
113,0.00014703757340740308,NA,NA,NA
114,0.0001414286999775207,NA,NA,NA
115,0.0001354629821030155,NA,NA,NA
116,0.00012912932546198686,NA,NA,NA
117,0.00012241663573253386,NA,NA,NA
118,0.000115313818592756,NA,NA,NA
119,0.00010780977972075253,NA,NA,NA
120,9.989342479462308e-05,NA,NA,NA
121,9.155365949246657e-05,NA,NA,NA
122,8.277938949238274e-05,NA,NA,NA
123,7.355952047247052e-05,NA,NA,NA
124,6.38829581108293e-05,NA,NA,NA
125,5.37386080855588e-05,NA,NA,NA
126,4.311537607475742e-05,NA,NA,NA
127,3.2002167756525735e-05,NA,NA,NA
128,2.03878888089627e-05,NA,NA,NA
129,8.261444910166943e-06,NA,NA,NA
130,-4.3882582617619376e-06,NA,NA,NA
131,-1.757231502872423e-05,NA,NA,NA
132,-3.1301819712620986e-05,NA,NA,NA
133,-4.5587866635352385e-05,NA,NA,NA
134,-6.044155011881926e-05,NA,NA,NA
135,-7.587396448492244e-05,NA,NA,NA
136,-9.18962040555632e-05,NA,NA,NA
137,-0.00010851936315264105,NA,NA,NA
138,-0.00012575453609805728,NA,NA,NA
139,-0.0001436128172137125,NA,NA,NA
140,-0.00016210530082150774,NA,NA,NA
141,-0.00018124308124334255,NA,NA,NA
142,-0.00020103725280111928,NA,NA,NA
143,-0.0002214989098167368,NA,NA,NA
144,-0.00024263914661209747,NA,NA,NA
145,-0.0002644690575091004,NA,NA,NA
146,-0.00028699973682964766,NA,NA,NA
147,-0.00031024227889563886,NA,NA,NA
148,-0.00033420777802897544,NA,NA,NA
149,-0.0003589073285515574,NA,NA,NA
150,-0.00038435202478528593,NA,NA,NA
